cell,condition,category,batch,T,n_valid_frames,n_empty_frames,mean_mask_area,mean_body_area,mean_lam_area,mean_body_I,mean_lam_I,mean_lam_to_body_ratio,slope_lam_area_per_frame,slope_body_area_per_frame,slope_lam_I_per_frame
ko2/ko30,ko,2,high,360,360,0,4499.336111111111,2255.6305555555555,2243.7055555555557,1252.7735105726454,682.0224866231282,0.9946336480384098,3.2413534569453972,3.26782678364288,-1.3166689034348076
ko2/ko5,ko,2,high,360,360,0,6060.080555555555,3707.7916666666665,2352.288888888889,541.8285589430068,412.0370876736111,0.7353560665261949,-0.675888702844926,5.024146662654291,-0.6314899808225177
wt1/12,wt,1,low,180,167,13,6768.760479041916,3475.131736526946,3293.62874251497,245.24616227749578,205.18682221738163,0.9494002962436228,-8.78083596770709,-9.85395763091631,0.03499833931210638
wt1/26,wt,1,low,180,180,0,6327.233333333334,3193.8,3133.4333333333334,361.25686984592016,228.61302608913846,0.9825132768823279,-1.0050104427091404,-0.6511805919935825,-0.23295597007458882
wt1/33,wt,1,low,81,73,8,7742.506849315068,3931.4657534246576,3811.041095890411,258.91583293758026,197.92088568700504,0.9608534074878409,-3.2854930364394526,-4.497253413643688,0.047795373166443625
wt1/37,wt,1,low,80,79,1,7779.430379746836,3922.3417721518986,3857.0886075949365,338.2527643517603,225.5629303364814,0.9834782973438446,-10.112468448584929,-8.934932141594246,-0.22595013254008084
wt1/4,wt,1,low,180,180,0,9117.43888888889,4604.8388888888885,4512.6,311.4571050008138,211.7915303548177,0.9803420336730435,-4.664822988363824,-4.613256581993245,-0.1333383683239843
wt2/wt10,wt,2,high,360,360,0,4324.05,2196.4444444444443,2127.6055555555554,580.6470997280545,500.22219611273874,0.969611918344335,-3.0793360031070196,-3.222002484587069,-0.6367826552592881
wt2/wt14,wt,2,high,345,345,0,4368.536231884058,2213.1072463768114,2155.4289855072466,706.4335042317708,503.6913951044497,0.973909766665732,0.2591988754916823,0.20232704255481035,-0.37335658498628843
wt2/wt18,wt,2,high,77,77,0,9916.0,4981.454545454545,4934.545454545455,1051.3549194335938,608.2345137162642,0.99073300356732,6.695436142804545,7.514695830485304,-2.3455116917416485
wt2/wt23,wt,2,high,240,238,2,4678.59243697479,2350.5210084033615,2328.0714285714284,1492.237582294881,701.9569523915524,0.989600798050006,-0.5192026251532901,-0.8246982709343248,-0.04155617684753424
wt2/wt4,wt,2,high,67,67,0,7879.850746268657,3944.805970149254,3935.044776119403,1457.5220491779385,889.4176043610074,0.995530667708399,11.08272807087553,11.195386702849357,4.028348274970814
